,Building- lat,longitude,hazards_present,wind_damage_rating,surge_damage_rating,rainwater_ingress_damage_rating,building_type,number_of_stories,understory_pct_of_building_footprint,year_built,roof_shape,mwfrs,foundation_type,wall_structure,wall_substrate,wall_cladding,roof_system,roof_substrate_type,roof_cover,status,Building-long,mindist
578,30.19542279,-85.60243081,"Wind,Rain",2,0,1.0,Single Family,2.0,0.0,2010.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Vinyl Siding (unknown),"""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),2,-85.60243081,19.46130885846145
579,30.19544626,-85.60211666,Wind,1,0,,Single Family,2.0,0.0,2005.0,Gable/Hip Combo,,,,,Vinyl Siding (standard),,,Asphalt shingles (3-tab),1,-85.60211666,19.43105726539868
580,30.1955245,-85.60010098,Wind,1,0,,Single Family,2.0,0.0,2009.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Vinyl Siding (unknown),"""Wood, unknown""",Unknown,Asphalt shingles (laminated),1,-85.60010098,19.23717180232457
581,30.19555203,-85.60263298,Wind,1,0,,Single Family,2.0,0.0,2005.0,Gable/Hip Combo,,,,,Vinyl Siding (standard),,,Asphalt shingles (3-tab),1,-85.60263298,19.480348862516152
582,30.19573547,-85.60260482,Wind,1,0,,Single Family,1.0,0.0,2005.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Vinyl Siding (unknown),"""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),1,-85.60260482,19.477118003595884
583,30.19579719,-85.60011372,Wind,3,0,-1.0,Single Family,2.0,0.0,2008.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Vinyl Siding (unknown),"""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),3,-85.60011372,19.23760867345754
584,30.195805,-85.599722,Wind,1,0,,Single Family,2.0,0.0,2010.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Vinyl Siding (unknown),"""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),1,-85.599722,19.199951679992186
585,30.195812,-85.60031,"Rain,Tree,Wind",2,0,,Single Family,2.0,0.0,2007.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Vinyl Siding (standard),"""Wood, unknown""",Plywood/OSB,Asphalt shingles (3-tab),2,-85.60031,19.256425256229363
586,30.19611045,-85.60213309,Wind,2,0,-1.0,Single Family,1.0,0.0,2006.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Vinyl Siding (unknown),"""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),2,-85.60213309,19.43078607552276
587,30.204383,-85.635142,Wind-borne debris,2,0,0.0,Single Family,2.0,0.0,2006.0,Complex,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (unknown)","""Wood, rafter""",Plywood/OSB,Asphalt shingles (laminated),2,-85.635142,22.602593253867024
588,30.20491363,-85.59637371,"Wind,Rain",2,0,,Single Family,1.0,0.0,2017.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (unknown)","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),2,-85.59637371,18.87953164084194
589,30.204952,-85.596576,Wind,4,0,,Single Family,2.0,0.0,2016.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (unknown)","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),4,-85.596576,18.89908383180582
590,30.20526047,-85.59695106,Wind,3,0,,Single Family,2.0,0.0,2017.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (standard)","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),3,-85.59695106,18.936110875601347
591,30.20526221,-85.59651788,"Wind,Rain",1,0,,Single Family,1.0,0.0,2016.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (unknown)","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),1,-85.59651788,18.89450785091569
592,30.2053106,-85.59819426,"Wind,Rain",2,0,,Single Family,2.0,0.0,2016.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (unknown)","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),2,-85.59819426,19.05569327349956
